74 बंगला,B,10
74 बंगला,B,11
74 बंगला,B,12
74 बंगला,B,13
74 बंगला,B,14
74 बंगला,B,15
74 बंगला,B,16
74 बंगला,B,17
74 बंगला,B,18
74 बंगला,B,19
74 बंगला,B,20
74 बंगला,B,21
74 बंगला,B,22
74 बंगला,B,23
74 बंगला,B,24
74 बंगला,B,25
74 बंगला,B,26
74 बंगला,B,27
74 बंगला,B,28
74 बंगला,B,29
74 बंगला,B,30
74 बंगला,B,31
74 बंगला,B,32
74 बंगला,B,4
74 बंगला,B,5
74 बंगला,B,6
74 बंगला,B,7
74 बंगला,B,8
74 बंगला,B,9
74 बंगला,B,1
74 बंगला,B,10
74 बंगला,B,2
74 बंगला,B,3
74 बंगला,B,E-10
चार इमली,B,10
चार इमली,B,11
चार इमली,B,12
चार इमली,B,13
चार इमली,B,14
चार इमली,B,15
चार इमली,B,16
चार इमली,B,17
चार इमली,B,18
चार इमली,B,19
चार इमली,B,20
चार इमली,B,21
चार इमली,B,22
चार इमली,B,23
चार इमली,B,24
चार इमली,B,25
चार इमली,B,3
चार इमली,B,4
चार इमली,B,5
चार इमली,B,6
चार इमली,B,8
चार इमली,B,9
चार इमली,B,XD-3A
चार इमली,B,1
चार इमली,B,2
चार इमली,B,7
सिविल लाइन,B,MB-1
सिविल लाइन,B,MB-10
सिविल लाइन,B,MB-2
सिविल लाइन,B,MB-3
सिविल लाइन,B,MB-4
सिविल लाइन,B,MB-5
सिविल लाइन,B,MB-6
सिविल लाइन,B,MB-7
सिविल लाइन,B,MB-8
सिविल लाइन,B,MB-9
कॉटेज 10,B,10
कॉटेज 5,B,5
गौहर महल,B,72/2
गौहर महल,B,72/3
गौहर महल,B,72/1
हाकिम सुल्तान बिल्डिंग,B,159/3
ईदगाह हिल्स,B,RB-13
जहांगीराबाद,B,8
कर्बला बंगला,B,1-A/1
कर्बला बंगला,B,2-A/2
कर्बला बंगला,B,3-A/3
कसियाना बंगला,B,1
ओल्ड खासियत,B,75/2
ओल्ड खासियत,B,75/3
ओल्ड माचिस फैक्ट्री,B,150
ओल्ड माचिस फैक्ट्री,B,152
प्रसासन अकादमी,B,1
प्रोफेसर कॉलोनी,B,MB-144/1
प्रोफेसर कॉलोनी,B,MB-144/2
रविशंकर नगर,B,1
सब्जी मंडी,B,103/1
शीशमहल,B,66
शीशमहल,B,90/2
शीशमहल,B,90/3
शीशमहल,B,90/5
शीशमहल,B,90/8
शीशमहल,B,90A/4
शिरीन मंजिल,B,1
श्यामला हिल्स,B,1
श्यामला हिल्स,B,2
श्यामला हिल्स,B,3
श्यामला हिल्स,B,4
श्यामला हिल्स,B,5
श्यामला हिल्स,B,6
श्यामला हिल्स,B,7
श्यामला हिल्स,B,8
विंध्य बंगला,B,1
74 बंगला,C,1
74 बंगला,C,10
74 बंगला,C,11
74 बंगला,C,12
74 बंगला,C,2
74 बंगला,C,3
74 बंगला,C,4
74 बंगला,C,5
74 बंगला,C,6
74 बंगला,C,7
74 बंगला,C,8
74 बंगला,C,9
आमेर गंज,C,15/2
चार इमली,C,2/10
चार इमली,C,2/11
चार इमली,C,2/12
चार इमली,C,2/13
चार इमली,C,2/14
चार इमली,C,2/15
चार इमली,C,2/16
चार इमली,C,2/17
चार इमली,C,2/18
चार इमली,C,2/19
चार इमली,C,2/2
चार इमली,C,2/20
चार इमली,C,2/21
चार इमली,C,2/22
चार इमली,C,2/23
चार इमली,C,2/24
चार इमली,C,2/25
चार इमली,C,2/3
चार इमली,C,2/4
चार इमली,C,2/5
चार इमली,C,2/6
चार इमली,C,2/7
चार इमली,C,2/8
चार इमली,C,2/9
चार इमली,C,2/1
प्रसासन अकादमी,C,1
प्रसासन अकादमी,C,2
प्रोफेसर कॉलोनी,C,1
सब्जी मंडी,C,103
सब्जी मंडी,C,103/1
शीशमहल,C,61/1
शीशमहल,C,90/4-B
शिवाजी नगर,C,13
शिवाजी नगर,C,14
शिवाजी नगर,C,15
शिवाजी नगर,C,16
शिवाजी नगर,C,17
शिवाजी नगर,C,18
शिवाजी नगर,C,19
शिवाजी नगर,C,20
शिवाजी नगर,C,21
शिवाजी नगर,C,22
शिवाजी नगर,C,23
